sio2,tio2,al2o3,feo,fe2o3,mno,na2o,k2o,mgo,cao,p2o5,h2o,d,Author,Year
60.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,2.5169999599456787,Startsev Yu.K.,1989
69.5,0.0,0.0,0.0,0.0,0.0,23.0,7.5,0.0,0.0,0.0,0.0,2.476999998092652,Grigorjev V.S.,1988
80.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,2.3919999599456787,Livshits V.Ya.,1988
72.7,0.0,0.0,0.0,0.0,0.0,23.6,3.7,0.0,0.0,0.0,0.0,2.45199990272522,Livshits V.Ya.,1988
72.7,0.0,0.0,0.0,0.0,0.0,14.5,12.8,0.0,0.0,0.0,0.0,2.453000068664551,Livshits V.Ya.,1988
81.8,0.0,0.0,0.0,0.0,0.0,14.5,3.7,0.0,0.0,0.0,0.0,2.4110000133514404,Livshits V.Ya.,1988
71.3,0.0,0.0,0.0,0.0,0.0,14.2,3.6,0.0,10.9,0.0,0.0,2.5190000534057617,Livshits V.Ya.,1988
76.2,0.0,4.8,0.0,0.0,0.0,15.2,3.8,0.0,0.0,0.0,0.0,2.407999992370605,Livshits V.Ya.,1988
65.2,18.5,0.0,0.0,0.0,0.0,13.0,3.3,0.0,0.0,0.0,0.0,2.677000045776367,Livshits V.Ya.,1988
72.0,0.0,0.0,0.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.720000028610229,Pronkin A.A.,1990
72.0,0.0,0.0,0.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.740000009536743,Pronkin A.A.,1990
72.0,0.0,0.0,0.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.759999990463257,Pronkin A.A.,1990
50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,2.890000104904175,Yunusov M.Yu.,1990
50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,2.970000028610229,Yunusov M.Yu.,1990
50.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,3.0199999809265137,Yunusov M.Yu.,1990
50.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,25.0,0.0,0.0,3.109999895095825,Yunusov M.Yu.,1990
50.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,3.115999937057495,Yunusov M.Yu.,1990
61.0,0.0,9.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.489000082015991,Karapetyan G.O.,1984
85.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.3350000381469727,Akimov V.V.,1960
80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.38700008392334,Akimov V.V.,1960
75.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2.430999994277954,Akimov V.V.,1960
70.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.4739999771118164,Akimov V.V.,1960
66.7,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,2.490000009536743,Akimov V.V.,1960
80.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.38700008392334,Gutkina N.G.,1978
72.0,0.0,0.0,0.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.680000066757202,Pronkin A.A.,1990
50.0,0.0,16.66,0.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,0.0,2.61299991607666,Lisenenkov A.A.,1982
57.15,0.0,14.29,0.0,0.0,0.0,14.28,0.0,0.0,14.28,0.0,0.0,2.572000026702881,Lisenenkov A.A.,1982
62.49,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,12.51,0.0,0.0,2.5269999504089355,Lisenenkov A.A.,1982
66.67,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,0.0,2.5,Lisenenkov A.A.,1982
70.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,2.4719998836517334,Lisenenkov A.A.,1982
53.38,0.0,1.69,0.0,0.0,0.0,1.69,0.0,0.0,43.24,0.0,0.0,2.822999954223633,Lisenenkov A.A.,1982
54.56,0.0,2.27,0.0,0.0,0.0,2.26,0.0,0.0,40.91,0.0,0.0,2.789999961853028,Lisenenkov A.A.,1982
56.88,0.0,3.44,0.0,0.0,0.0,3.44,0.0,0.0,36.24,0.0,0.0,2.740999937057495,Lisenenkov A.A.,1982
59.41,0.0,4.63,0.0,0.0,0.0,4.63,0.0,0.0,31.33,0.0,0.0,2.696000099182129,Lisenenkov A.A.,1982
63.0,0.0,6.5,0.0,0.0,0.0,6.5,0.0,0.0,24.0,0.0,0.0,2.621000051498413,Lisenenkov A.A.,1982
64.27,0.0,7.13,0.0,0.0,0.0,7.13,0.0,0.0,21.47,0.0,0.0,2.595000028610229,Lisenenkov A.A.,1982
65.56,0.0,7.78,0.0,0.0,0.0,7.77,0.0,0.0,18.89,0.0,0.0,2.563999891281128,Lisenenkov A.A.,1982
66.85,0.0,8.43,0.0,0.0,0.0,8.42,0.0,0.0,16.3,0.0,0.0,2.539999961853028,Lisenenkov A.A.,1982
68.17,0.0,9.08,0.0,0.0,0.0,9.08,0.0,0.0,13.67,0.0,0.0,2.5190000534057617,Lisenenkov A.A.,1982
69.44,0.0,9.8,0.0,0.0,0.0,9.77,0.0,0.0,10.99,0.0,0.0,2.4760000705718994,Lisenenkov A.A.,1982
70.85,0.0,10.42,0.0,0.0,0.0,10.43,0.0,0.0,8.3,0.0,0.0,2.4609999656677246,Lisenenkov A.A.,1982
71.67,0.0,10.83,0.0,0.0,0.0,10.83,0.0,0.0,6.67,0.0,0.0,2.45199990272522,Lisenenkov A.A.,1982
75.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,2.390000104904175,Lisenenkov A.A.,1982
62.5,0.0,7.5,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.486999988555908,Mazurina E.K.,1976
65.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,20.0,0.0,0.0,2.622999906539917,Morsi M.M.,1984
64.04,1.47,0.0,0.0,0.0,0.0,14.78,0.0,0.0,19.71,0.0,0.0,2.6480000019073486,Morsi M.M.,1984
63.11,2.9,0.0,0.0,0.0,0.0,14.57,0.0,0.0,19.42,0.0,0.0,2.677999973297119,Morsi M.M.,1984
59.66,8.21,0.0,0.0,0.0,0.0,13.77,0.0,0.0,18.36,0.0,0.0,2.752000093460083,Morsi M.M.,1984
58.07,10.66,0.0,0.0,0.0,0.0,13.4,0.0,0.0,17.87,0.0,0.0,2.776000022888184,Morsi M.M.,1984
55.84,14.09,0.0,0.0,0.0,0.0,12.89,0.0,0.0,17.18,0.0,0.0,2.8310000896453857,Morsi M.M.,1984
53.11,18.28,0.0,0.0,0.0,0.0,12.26,0.0,0.0,16.35,0.0,0.0,2.865000009536743,Morsi M.M.,1984
74.81,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,10.69,0.0,0.0,2.505000114440918,Bobkova N.M.,1987
73.03,0.0,0.0,0.0,0.0,0.0,13.21,0.0,0.0,13.75,0.0,0.0,2.502000093460083,Bobkova N.M.,1987
95.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1410000324249268,Astakhova V.V.,1983
55.6,0.0,22.2,0.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,2.625,Singer G.M.,1989
57.9,0.0,18.6,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,2.615999937057495,Singer G.M.,1989
53.8,0.0,22.2,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.586999893188477,Singer G.M.,1989
59.5,0.0,21.1,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,2.6679999828338623,Singer G.M.,1989
53.8,0.0,12.7,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,2.4560000896453857,Singer G.M.,1989
72.4,0.0,12.2,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,2.618000030517578,Singer G.M.,1989
54.0,0.0,10.0,0.0,0.0,0.0,16.0,0.0,20.0,0.0,0.0,0.0,2.5309998989105225,Appen A.A.,1952
54.0,0.0,10.0,0.0,0.0,0.0,16.0,0.0,0.0,20.0,0.0,0.0,2.631999969482422,Appen A.A.,1952
54.0,10.0,0.0,0.0,0.0,0.0,16.0,0.0,20.0,0.0,0.0,0.0,2.684999942779541,Appen A.A.,1952
54.0,10.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,20.0,0.0,0.0,2.7699999809265137,Appen A.A.,1952
80.3,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,0.0,2.36899995803833,Lockyer M.W.G.,1995
76.1,0.0,0.3,0.0,0.0,0.0,0.0,18.8,0.0,0.0,4.8,0.0,2.328000068664551,Lockyer M.W.G.,1995
71.7,0.0,1.1,0.0,0.0,0.0,0.0,18.0,0.0,0.0,9.2,0.0,2.308000087738037,Lockyer M.W.G.,1995
68.5,0.0,1.4,0.0,0.0,0.0,0.0,16.2,0.0,0.0,13.9,0.0,2.312000036239624,Lockyer M.W.G.,1995
61.0,0.0,1.6,0.0,0.0,0.0,0.0,14.4,0.0,0.0,23.0,0.0,2.322000026702881,Lockyer M.W.G.,1995
56.8,0.0,1.2,0.0,0.0,0.0,0.0,13.3,0.0,0.0,28.7,0.0,2.3550000190734863,Lockyer M.W.G.,1995
48.8,0.0,1.4,0.0,0.0,0.0,0.0,11.7,0.0,0.0,38.1,0.0,2.4170000553131104,Lockyer M.W.G.,1995
42.2,0.0,1.4,0.0,0.0,0.0,0.0,9.6,0.0,0.0,46.8,0.0,2.470999956130981,Lockyer M.W.G.,1995
35.2,0.0,1.8,0.0,0.0,0.0,0.0,7.9,0.0,0.0,55.1,0.0,2.489000082015991,Lockyer M.W.G.,1995
66.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.430000066757202,Matusita K.,1991
